name,company,startdate,enddate,requirements,roles
Staffing Optimization Platform,Accenture,2021-05-13T00:00:00,2025-05-13T00:00:00,"Graph-based matching;REST API;OAuth2 authentication","Backend Developer:2;Frontend Developer:1;Project Lead:1"
Digital Banking Portal,DNB,2025-09-01T00:00:00,2029-09-01T00:00:00,"Customer-facing portal;Real-time transactions;High availability","Fullstack Developer:3;DevOps Engineer:1;Tech Lead:1"
Energy Analytics Dashboard,Equinor,2022-06-15T00:00:00,2025-06-15T00:00:00,"Real-time data visualization;ML predictions;Sensor integration","Data Engineer:2;ML Engineer:1;Backend Developer:1"
Cloud Infrastructure Migration,Telenor,2024-12-01T00:00:00,2028-12-01T00:00:00,"Migrate legacy systems;Zero downtime;Containerization","DevOps Engineer:2;Cloud Architect:1;Backend Developer:2"
Content Recommendation Engine,Schibsted,2022-08-01T00:00:00,2024-08-01T00:00:00,"Personalized content;A/B testing;Scalable API","ML Engineer:2;Backend Developer:2;Frontend Developer:1"
Next-Gen Mobile Banking,Nordea,2023-03-01T00:00:00,2027-03-01T00:00:00,"Mobile-first design;Secure payments;Biometric authentication","iOS Developer:2;Android Developer:2;Backend Developer:2;UX Designer:1"
Music Personalization Platform,Spotify,2021-11-15T00:00:00,2026-11-15T00:00:00,"Recommendation algorithms;Streaming optimization;Big data pipelines","Data Scientist:2;Backend Developer:2;Platform Engineer:1"
Retail Supply Chain Modernization,IKEA,2022-02-01T00:00:00,2026-02-01T00:00:00,"Inventory forecasting;IoT tracking;ERP integration","Solution Architect:1;Backend Developer:2;Data Engineer:2"
Connected Vehicle Services,Volvo Cars,2024-01-10T00:00:00,2028-01-10T00:00:00,"Telematics platform;OTA updates;Edge analytics","Embedded Engineer:2;Cloud Engineer:2;Backend Developer:1"
Airline Operations Optimization,SAS,2023-09-01T00:00:00,2027-09-01T00:00:00,"Scheduling optimization;Predictive maintenance;Operational dashboards","Data Engineer:2;Frontend Developer:1;ML Engineer:1"
Defense Simulation Platform,Kongsberg Gruppen,2021-04-20T00:00:00,2026-04-20T00:00:00,"Real-time simulation;Secure systems;3D visualization","C++ Developer:2;Simulation Engineer:2;Project Manager:1"
Insurance Risk Analytics,Storebrand,2022-10-01T00:00:00,2025-10-01T00:00:00,"Risk modeling;Regulatory reporting;Data warehouse modernization","Data Analyst:2;Backend Developer:1;Tech Lead:1"
Public Services Digitalization,NAV,2023-01-15T00:00:00,2027-01-15T00:00:00,"Citizen self-service;Secure login;High scalability","Fullstack Developer:3;Security Engineer:1;Product Owner:1"
Smart Transportation Platform,Vy,2024-05-01T00:00:00,2028-05-01T00:00:00,"Journey planning APIs;Real-time tracking;Mobile ticketing","Backend Developer:2;Mobile Developer:2;Cloud Engineer:1"
Omnichannel Retail Platform,Elkjøp,2022-03-10T00:00:00,2026-03-10T00:00:00,"Unified commerce;Customer insights;Scalable microservices","Frontend Developer:2;Backend Developer:2;DevOps Engineer:1"
